Man Zi Qing|041130-10-0674|STF001|Man1230
Man Zi King|051130-10-0674|STF002|Man130
Man Zi Ling|061130-10-0674|STF003|Man30
Anny Wong|041230-10-0674|STF1|1230abcd
Crayon|041230-10-0000|STF1|123123aa
Shin Chan|001130-11-0000|STF1|123123qq
Chan Chan|001122-11-0057|STF1|123456ww
Cry Cry|991122-22-2000|STF2|123456zz
Ku Ku La|881101-10-0674|STF3|123456aa
HUH HUH HUH|001122-10-0666|STF010|123456qq
MAN ZI MING|041230-10-0777|STF011|123456qq
ANNNY WONG|041230-10-0674|STF012|123456qq
WONG ANN NEE|041230-10-0674|STF013|annywong1230
ANNY|040229-13-2666|STF014|123456anny
ANNY DOG|010101-10-1010|STF015|123456nn
ABCD|121212-12-1212|STF016|123456bnm
